Object,Dublin Core Element,Metadata Value
"Object 19: SD Raid Analysis","Title","An Investigative Report on the Betrayal and Arrest of the Inhabitants of the Secret Annex"
"Object 19: SD Raid Analysis","Creator","Gertjan Broek; Anne Frank House Knowledge Centre"
"Object 19: SD Raid Analysis","Subject","SD raid; Betrayal theories; Anne Frank; Ration coupon fraud"
"Object 19: SD Raid Analysis","Description","A comprehensive analytical document re-evaluating the raid on Prinsengracht 263 using previously untapped police and judicial sources."
"Object 19: SD Raid Analysis","Publisher","Anne Frank Stichting"
"Object 19: SD Raid Analysis","Date","2016-10"
"Object 19: SD Raid Analysis","Type","Text; Investigative Report"
"Object 19: SD Raid Analysis","Format","PDF; Digital Document"
"Object 19: SD Raid Analysis","Identifier","AFS Investigative Report 2016"
"Object 19: SD Raid Analysis","Source","https://www.annefrank.org/en/downloads/filer_public/4a/c6/4ac6677d-f8ae-4c79-b024-91ffe694e216/an_investigative_report_on_the_betrayal_and_arrest.pdf"
"Object 19: SD Raid Analysis","Language","English"
"Object 19: SD Raid Analysis","Rights","Copyright © Anne Frank Stichting; Educational use permitted."
"Object 20: Westerbork Transit Camp","Title","Barracks at Westerbork transit camp after liberation"
"Object 20: Westerbork Transit Camp","Creator","UK Army Photographer (originally) / Rudolf Breslauer (contextual)"
"Object 20: Westerbork Transit Camp","Subject","Westerbork; Holocaust; Transit Camp; Barracks; Internment"
"Object 20: Westerbork Transit Camp","Description","A view of the camp barracks after liberation, illustrating the living conditions for those awaiting deportation."
"Object 20: Westerbork Transit Camp","Publisher","United States Holocaust Memorial Museum (USHMM)"
"Object 20: Westerbork Transit Camp","Date","After 1945-04-12"
"Object 20: Westerbork Transit Camp","Type","Image; Still Photograph"
"Object 20: Westerbork Transit Camp","Format","image/jpeg; 667 x 476 pixels"
"Object 20: Westerbork Transit Camp","Identifier","USHMM MediaId 717; pa28958"
"Object 20: Westerbork Transit Camp","Source","http://www.ushmm.org/wlc/en/media_ph.php?MediaId=717"
"Object 20: Westerbork Transit Camp","Language","English (Metadata)"
"Object 20: Westerbork Transit Camp","Rights","Public Domain (UK Government/USHMM)"
"Object 22: September 3 Transport List","Title","Transportlijst Westerbork-Auschwitz, 3 september 1944"
"Object 22: September 3 Transport List","Creator","Westerbork Camp Administration"
"Object 22: September 3 Transport List","Subject","Holocaust; Deportation; Auschwitz-Birkenau; Transport List; Frank Family"
"Object 22: September 3 Transport List","Description","A primary document listing the names and transport numbers of individuals deported to the Auschwitz death camp."
"Object 22: September 3 Transport List","Publisher","Het Nederlandse Rode Kruis (NRK) / Arolsen Archives"
"Object 22: September 3 Transport List","Date","1944-09-03"
"Object 22: September 3 Transport List","Type","Text; Administrative List"
"Object 22: September 3 Transport List","Format","Typed Document; Digital Facsimile"
"Object 22: September 3 Transport List","Identifier","NRK inv. nr. 1066; Arolsen Archives 1.1.2.1"
"Object 22: September 3 Transport List","Source","Arolsen Archives, Bad Arolsen, Germany"
"Object 22: September 3 Transport List","Language","German"
"Object 22: September 3 Transport List","Rights","Public Domain (Historical Archive) / Educational use only"
"Object 21: Bergen-Belsen Liberation","Title","The Liberation of Bergen-belsen Concentration Camp, April 1945"
"Object 21: Bergen-Belsen Liberation","Creator","Lt. M. H. Wilson; Sgt. H. Oakes; No 5 Army Film & Photographic Unit"
"Object 21: Bergen-Belsen Liberation","Subject","Bergen-Belsen; Liberation; Holocaust; War Crimes; AFPU"
"Object 21: Bergen-Belsen Liberation","Description","A visual record of the camp interior and the mass burials conducted by the British Army after the discovery of thousands of victims."
"Object 21: Bergen-Belsen Liberation","Publisher","Imperial War Museums (IWM) / USHMM"
"Object 21: Bergen-Belsen Liberation","Date","1945-04-15"
"Object 21: Bergen-Belsen Liberation","Type","Image; Still Photograph"
"Object 21: Bergen-Belsen Liberation","Format","image/jpeg; 1,695 x 1,200 pixels"
"Object 21: Bergen-Belsen Liberation","Identifier","IWM BU 3768; USHMM pa1083235"
"Object 21: Bergen-Belsen Liberation","Source","http://media.iwm.org.uk/iwm/mediaLib//57/media-57594/large.jpg"
"Object 21: Bergen-Belsen Liberation","Language","English (Metadata)"
"Object 21: Bergen-Belsen Liberation","Rights","Public Domain (Crown Copyright expired)"
"Object 23: Otto Frank Stewardship (First Edition)","Title","First edition of 'Het Achterhuis' (The Secret Annex), 1947"
"Object 23: Otto Frank Stewardship (First Edition)","Creator","Anne Frank (Author); Otto Frank (Compiler/Editor)"
"Object 23: Otto Frank Stewardship (First Edition)","Subject","Legacy; Publication history; Otto Frank; Anne Frank"
"Object 23: Otto Frank Stewardship (First Edition)","Description","The first official publication of Anne Frank's diary in Dutch, featuring a dust jacket designed by Helmut Salden."
"Object 23: Otto Frank Stewardship (First Edition)","Publisher","Uitgeverij Contact, Amsterdam"
"Object 23: Otto Frank Stewardship (First Edition)","Date","1947-06-25"
"Object 23: Otto Frank Stewardship (First Edition)","Type","Text; Published Work"
"Object 23: Otto Frank Stewardship (First Edition)","Format","Printed Book; 11x19 cm"
"Object 23: Otto Frank Stewardship (First Edition)","Identifier","ISBN N/A (1947 First Ed.)"
"Object 23: Otto Frank Stewardship (First Edition)","Source","https://www.annefrank.org/en/anne-frank/diary/publication-diary/"
"Object 23: Otto Frank Stewardship (First Edition)","Language","Dutch"
"Object 23: Otto Frank Stewardship (First Edition)","Rights","Copyright © Anne Frank Fonds, Basel (Text); Photo collection Anne Frank Stichting."
"Object 24: Anne Frank Tree","Title","The Anne Frank Chestnut Tree viewed from the attic"
"Object 24: Anne Frank Tree","Creator","Cris Toala Olivares"
"Object 24: Anne Frank Tree","Subject","Anne Frank Tree; Symbolism; Secret Annex; Nature and Freedom"
"Object 24: Anne Frank Tree","Description","A view of the white horse-chestnut tree from the perspective Anne Frank shared during her years in hiding."
"Object 24: Anne Frank Tree","Publisher","Photo collection Anne Frank Stichting, Amsterdam"
"Object 24: Anne Frank Tree","Date","2010"
"Object 24: Anne Frank Tree","Type","Image; Still Photograph"
"Object 24: Anne Frank Tree","Format","image/jpeg"
"Object 24: Anne Frank Tree","Identifier","AFS Attic View 2010"
"Object 24: Anne Frank Tree","Source","https://www.annefrank.org/en/anne-frank/front-section/chestnut-tree/"
"Object 24: Anne Frank Tree","Language","English (Metadata)"
"Object 24: Anne Frank Tree","Rights","Copyrighted (Photo collection Anne Frank Stichting); Permission for education."
